Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
G. Cangiano,19,Italy,Bologna,€575K,Right,74,170cm,67kg,CAM,2024,Sinisa Mihajlovic,1.20 Years
K. Urbański,16,Poland,Bologna,€300K,Right,82,178cm,58kg,CAM,2025,Sinisa Mihajlovic,1.20 Years
G. Corbo,21,Italy,Bologna,€575K,Right,88,185cm,76kg,CB,2023,Sinisa Mihajlovic,1.20 Years
L. Skorupski,30,Poland,Bologna,€4.2M,Right,28,187cm,84kg,GK,2023,Sinisa Mihajlovic,1.20 Years
F. Bardi,29,Italy,Bologna,€2.1M,Right,22,188cm,80kg,GK,2022,Sinisa Mihajlovic,1.20 Years
A. Claude-Maurice,23,France,OGC Nice,€16.5M,Right,10,175cm,64kg,CAM,2024,Christophe Galtier,3.86 Years
Y. Atal,25,Algeria,OGC Nice,€9.5M,Right,20,175cm,66kg,RM,2023,Christophe Galtier,3.86 Years
M. Lemina,27,Gabon,OGC Nice,€7M,Right,18,184cm,85kg,CDM,2024,Christophe Galtier,3.86 Years
A. Delort,29,Algeria,OGC Nice,€25.5M,Right,7,181cm,83kg,ST,2024,Christophe Galtier,3.86 Years
21 Danilo,24,Brazil,OGC Nice,€3.3M,Right,21,182cm,74kg,CDM,2023,Christophe Galtier,3.86 Years
H. Boudaoui,21,Algeria,OGC Nice,€11.5M,Right,28,175cm,61kg,CAM,2023,Christophe Galtier,3.86 Years
A. Gouiri,21,France,OGC Nice,€29M,Right,11,180cm,72kg,CAM,2024,Christophe Galtier,3.86 Years
H. Kamara,27,Côte d'Ivoire,OGC Nice,€11M,Left,13,168cm,67kg,LB,2024,Christophe Galtier,3.86 Years
K. Thuram,20,France,OGC Nice,€11.5M,Right,19,192cm,81kg,CDM,2022,Christophe Galtier,3.86 Years
18 W. Sneijder,33,Netherlands,OGC Nice,€15.5M,Right,10,170cm,72kg,CAM,2020,Christophe Galtier,3.86 Years
P. Rosario,24,Netherlands,OGC Nice,€9.5M,Right,8,188cm,73kg,CDM,2025,Christophe Galtier,3.86 Years
M. Schneiderlin,31,France,OGC Nice,€3M,Right,6,186cm,79kg,CDM,2023,Christophe Galtier,3.86 Years
K. Dolberg,23,Denmark,OGC Nice,€25.5M,Right,9,187cm,84kg,ST,2024,Christophe Galtier,3.86 Years
J. Kluivert,22,Netherlands,OGC Nice,€15M,Right,21,172cm,66kg,CAM,30-Jun-22,Christophe Galtier,3.86 Years
J. Lotomba,22,Switzerland,OGC Nice,€6M,Right,23,177cm,71kg,RB,2025,Christophe Galtier,3.86 Years
M. Bard,20,France,OGC Nice,€4.9M,Left,26,173cm,65kg,LWB,2026,Christophe Galtier,3.86 Years
C. Stengs,22,Netherlands,OGC Nice,€21.5M,Left,22,187cm,68kg,CAM,2026,Christophe Galtier,3.86 Years
Dante,37,Brazil,OGC Nice,€1.3M,Left,4,189cm,91kg,CB,2022,Christophe Galtier,3.86 Years
J. Todibo,21,France,OGC Nice,€15.5M,Right,25,190cm,88kg,CB,2026,Christophe Galtier,3.86 Years
Robson Bambu,23,Brazil,OGC Nice,€3M,Right,3,185cm,72kg,CB,2025,Christophe Galtier,3.86 Years
I. Sacko,23,France,OGC Nice,€1.4M,Right,12,183cm,70kg,ST,2022,Christophe Galtier,3.86 Years
L. Da Cunha,20,France,OGC Nice,€2.2M,Left,29,176cm,69kg,CAM,2024,Christophe Galtier,3.86 Years
F. Daniliuc,20,Austria,OGC Nice,€6M,Right,5,188cm,80kg,CB,2025,Christophe Galtier,3.86 Years
E. Guessand,20,France,OGC Nice,€2.9M,Right,24,185cm,79kg,ST,2026,Christophe Galtier,3.86 Years
A. Sotona,18,Republic of Ireland,OGC Nice,€925K,Left,34,179cm,63kg,LM,2023,Christophe Galtier,3.86 Years
J. Smith,18,Canada,OGC Nice,€500K,Right,33,188cm,79kg,CB,2022,Christophe Galtier,3.86 Years
W. Benítez,28,Argentina,OGC Nice,€18M,Right,40,191cm,93kg,GK,2023,Christophe Galtier,3.86 Years
21 Y. Cardinale,26,France,OGC Nice,€1.1M,Right,30,181cm,84kg,GK,2021,Christophe Galtier,3.86 Years
T. Boulhendi,20,Algeria,OGC Nice,€700K,Right,16,185cm,82kg,GK,2022,Christophe Galtier,3.86 Years
M. Bułka,21,Poland,OGC Nice,€2M,Right,1,199cm,90kg,GK,30-Jun-22,Christophe Galtier,3.86 Years
R. Skov,25,Denmark,TSG Hoffenheim,€7.5M,Left,29,185cm,81kg,LM,2024,Sebastian Hoeneß,1.64 Years
A. Kramarić,30,Croatia,TSG Hoffenheim,€35.5M,Right,27,177cm,73kg,ST,2022,Sebastian Hoeneß,1.64 Years
S. Rudy,31,Germany,TSG Hoffenheim,€6M,Right,16,180cm,74kg,CM,2023,Sebastian Hoeneß,1.64 Years
18 E. Polański,31,Poland,TSG Hoffenheim,€3.8M,Right,8,183cm,78kg,CDM,2018,Sebastian Hoeneß,1.64 Years
P. Kadeřábek,29,Czech Republic,TSG Hoffenheim,€12.5M,Right,3,182cm,81kg,RWB,2023,Sebastian Hoeneß,1.64 Years
M. Gaćinović,26,Serbia,TSG Hoffenheim,€2.9M,Right,20,175cm,67kg,CM,2024,Sebastian Hoeneß,1.64 Years
F. Grillitsch,25,Austria,TSG Hoffenheim,€18.5M,Right,11,187cm,77kg,CM,2022,Sebastian Hoeneß,1.64 Years
J. Bruun Larsen,22,Denmark,TSG Hoffenheim,€6M,Right,7,183cm,77kg,CAM,2024,Sebastian Hoeneß,1.64 Years
C. Baumgartner,21,Austria,TSG Hoffenheim,€22.5M,Right,14,180cm,73kg,CAM,2025,Sebastian Hoeneß,1.64 Years
K. Vogt,29,Germany,TSG Hoffenheim,€6.5M,Right,22,194cm,87kg,CDM,2022,Sebastian Hoeneß,1.64 Years
D. Raum,23,Germany,TSG Hoffenheim,€6M,Left,17,180cm,75kg,LB,2025,Sebastian Hoeneß,1.64 Years
I. Bebou,27,Togo,TSG Hoffenheim,€11.5M,Right,9,185cm,80kg,RW,2023,Sebastian Hoeneß,1.64 Years
D. Samassékou,25,Mali,TSG Hoffenheim,€9M,Right,18,175cm,70kg,CDM,2024,Sebastian Hoeneß,1.64 Years
M. Dabbur,29,Israel,TSG Hoffenheim,€7.5M,Right,10,183cm,78kg,ST,2024,Sebastian Hoeneß,1.64 Years
H. Nordtveit,31,Norway,TSG Hoffenheim,€2.1M,Right,6,188cm,83kg,CB,2022,Sebastian Hoeneß,1.64 Years
S. Adamyan,28,Armenia,TSG Hoffenheim,€4.2M,Right,23,184cm,78kg,CF,2023,Sebastian Hoeneß,1.64 Years
A. Stiller,20,Germany,TSG Hoffenheim,€2.5M,Left,13,183cm,79kg,CM,2025,Sebastian Hoeneß,1.64 Years
16 K. Kurányi,33,Germany,TSG Hoffenheim,€2.3M,Right,22,190cm,88kg,ST,2016,Sebastian Hoeneß,1.64 Years
D. Geiger,23,Germany,TSG Hoffenheim,€6M,Right,8,173cm,67kg,CM,2023,Sebastian Hoeneß,1.64 Years
K. Akpoguma,26,Nigeria,TSG Hoffenheim,€4.6M,Right,25,192cm,85kg,CB,2024,Sebastian Hoeneß,1.64 Years
J. Brenet,27,Netherlands,TSG Hoffenheim,€1.5M,Right,2,181cm,74kg,LB,2022,Sebastian Hoeneß,1.64 Years
M. John,19,Germany,TSG Hoffenheim,€2.3M,Left,30,184cm,73kg,LWB,2024,Sebastian Hoeneß,1.64 Years
K. Adams Nuhu,26,Ghana,TSG Hoffenheim,€1.8M,Right,15,190cm,83kg,CB,2023,Sebastian Hoeneß,1.64 Years
E. Bičakčić,31,Bosnia and Herzegovina,TSG Hoffenheim,€3.8M,Right,4,185cm,85kg,CB,2022,Sebastian Hoeneß,1.64 Years
C. Richards,21,United States,TSG Hoffenheim,€4.3M,Right,28,188cm,87kg,CB,30-Jun-22,Sebastian Hoeneß,1.64 Years
G. Rutter,19,France,TSG Hoffenheim,€2.4M,Left,33,182cm,83kg,ST,2025,Sebastian Hoeneß,1.64 Years
B. Hübner,31,Germany,TSG Hoffenheim,€3.8M,Left,21,193cm,86kg,CB,2022,Sebastian Hoeneß,1.64 Years
M. Bogarde,19,Netherlands,TSG Hoffenheim,€1.4M,Right,32,182cm,72kg,CDM,2024,Sebastian Hoeneß,1.64 Years
S. Posch,24,Austria,TSG Hoffenheim,€7M,Right,38,189cm,82kg,CB,2024,Sebastian Hoeneß,1.64 Years
N. König,18,Germany,TSG Hoffenheim,€550K,Right,43,188cm,86kg,CB,2025,Sebastian Hoeneß,1.64 Years
O. Baumann,31,Germany,TSG Hoffenheim,€16M,Right,1,187cm,82kg,GK,2023,Sebastian Hoeneß,1.64 Years
P. Pentke,36,Germany,TSG Hoffenheim,€350K,Right,12,191cm,84kg,GK,2022,Sebastian Hoeneß,1.64 Years
20 A. Stolz,35,Germany,TSG Hoffenheim,€150K,Right,33,189cm,89kg,GK,2020,Sebastian Hoeneß,1.64 Years
N. Noll,18,Germany,TSG Hoffenheim,€275K,Right,36,188cm,75kg,GK,2025,Sebastian Hoeneß,1.64 Years
L. Philipp,20,Germany,TSG Hoffenheim,€525K,Right,37,192cm,83kg,GK,2023,Sebastian Hoeneß,1.64 Years
Cucurella,22,Spain,Brighton,€41.5M,Left,3,172cm,66kg,LM,2026,Graham Potter,3.65 Years
Y. Bissouma,24,Mali,Brighton,€24.5M,Right,8,182cm,80kg,CM,2023,Graham Potter,3.65 Years
E. Mwepu,23,Zambia,Brighton,€9M,Right,12,184cm,76kg,CAM,2025,Graham Potter,3.65 Years
P. Groß,30,Germany,Brighton,€7M,Right,13,181cm,78kg,CM,2022,Graham Potter,3.65 Years
A. Lallana,33,England,Brighton,€3.5M,Right,14,178cm,73kg,CAM,2023,Graham Potter,3.65 Years
A. Mac Allister,22,Argentina,Brighton,€11.5M,Right,10,174cm,72kg,CAM,2023,Graham Potter,3.65 Years
S. March,26,England,Brighton,€6M,Left,20,180cm,77kg,LWB,2024,Graham Potter,3.65 Years
J. Moder,22,Poland,Brighton,€3.7M,Right,15,188cm,78kg,CM,2025,Graham Potter,3.65 Years
N. Maupay,24,France,Brighton,€16M,Right,9,173cm,69kg,ST,2023,Graham Potter,3.65 Years
L. Trossard,26,Belgium,Brighton,€12.5M,Right,11,172cm,67kg,CAM,2023,Graham Potter,3.65 Years
D. Welbeck,30,England,Brighton,€3M,Right,18,185cm,73kg,ST,2022,Graham Potter,3.65 Years
J. Veltman,29,Netherlands,Brighton,€9M,Right,34,184cm,75kg,CB,2023,Graham Potter,3.65 Years
P. Tau,26,South Africa,Brighton,€5M,Left,22,175cm,65kg,CAM,2022,Graham Potter,3.65 Years
J. Locadia,27,Netherlands,Brighton,€2.2M,Right,27,185cm,87kg,ST,2022,Graham Potter,3.65 Years
T. Lamptey,20,England,Brighton,€9M,Right,2,163cm,62kg,RWB,2025,Graham Potter,3.65 Years
18 L. Rosenior,32,England,Brighton,€975K,Right,23,178cm,72kg,RB,2018,Graham Potter,3.65 Years
S. Alzate,22,Colombia,Brighton,€3.6M,Right,17,180cm,75kg,CAM,2024,Graham Potter,3.65 Years
L. Dunk,29,England,Brighton,€13M,Right,5,192cm,88kg,CB,2025,Graham Potter,3.65 Years
T. Richards,20,England,Brighton,€2.1M,Left,30,180cm,78kg,CAM,2024,Graham Potter,3.65 Years
13 Vicente,30,Spain,Brighton,€1.7M,Left,15,177cm,72kg,LW,2018,Graham Potter,3.65 Years
A. Webster,26,England,Brighton,€7.5M,Right,4,191cm,75kg,CB,2026,Graham Potter,3.65 Years
A. Connolly,21,Republic of Ireland,Brighton,€3.3M,Right,7,175cm,73kg,ST,2024,Graham Potter,3.65 Years
D. Burn,29,England,Brighton,€4.7M,Left,33,198cm,87kg,CB,2023,Graham Potter,3.65 Years
H. Roberts,19,England,Brighton,€500K,Left,28,180cm,70kg,CB,2023,Graham Potter,3.65 Years
T. Băluță,22,Romania,Brighton,€4M,Right,68,188cm,80kg,CDM,2022,Graham Potter,3.65 Years
S. Duffy,29,Republic of Ireland,Brighton,€2M,Right,24,193cm,76kg,CB,2023,Graham Potter,3.65 Years
A. Moran,17,Republic of Ireland,Brighton,€650K,Right,59,177cm,73kg,CAM,2023,Graham Potter,3.65 Years
U. Eneme-Ella,20,France,Brighton,€500K,Right,45,184cm,75kg,CAM,2023,Graham Potter,3.65 Years
J. Sarmiento,19,England,Brighton,€525K,Right,47,182cm,72kg,RM,2023,Graham Potter,3.65 Years
O. Offiah,18,England,Brighton,€575K,Right,57,180cm,81kg,CB,2023,Graham Potter,3.65 Years
A. Tsoungui,18,Belgium,Brighton,€600K,Right,53,185cm,87kg,CB,2022,Graham Potter,3.65 Years
J. Furlong,19,Republic of Ireland,Brighton,€275K,Left,54,178cm,71kg,LB,2022,Graham Potter,3.65 Years
Z. Emmerson,16,England,Brighton,€325K,Right,63,183cm,71kg,CAM,2022,Graham Potter,3.65 Years
Robert Sanchéz,23,Spain,Brighton,€9.5M,Right,1,197cm,85kg,GK,2025,Graham Potter,3.65 Years
J. Steele,30,England,Brighton,€575K,Right,23,188cm,79kg,GK,2023,Graham Potter,3.65 Years
K. Scherpen,21,Netherlands,Brighton,€3M,Right,16,202cm,85kg,GK,2025,Graham Potter,3.65 Years
M. Faraoni,29,Italy,Hellas Verona,€9.5M,Right,5,180cm,71kg,RWB,2024,Igor Tudor,0.74 Years
Miguel Veloso,35,Portugal,Hellas Verona,€5.5M,Left,4,180cm,79kg,CM,2022,Igor Tudor,0.74 Years
A. Barák,26,Czech Republic,Hellas Verona,€18.5M,Left,7,190cm,86kg,CAM,2024,Igor Tudor,0.74 Years
21 E. Badu,29,Ghana,Hellas Verona,€1.4M,Right,50,173cm,71kg,RW,2022,Igor Tudor,0.74 Years
M. Hongla,23,Cameroon,Hellas Verona,€6.5M,Right,78,181cm,77kg,CAM,30-Jun-22,Igor Tudor,0.74 Years
D. Lazović,30,Serbia,Hellas Verona,€7M,Right,8,181cm,66kg,LM,2022,Igor Tudor,0.74 Years
A. Tameze,27,France,Hellas Verona,€6M,Right,61,180cm,78kg,CDM,2024,Igor Tudor,0.74 Years
21 L. Vitale,32,Italy,Hellas Verona,€950K,Left,87,180cm,71kg,LM,2021,Igor Tudor,0.74 Years
21 K. Laribi,29,Tunisia,Hellas Verona,€1.4M,Right,44,175cm,67kg,RW,2021,Igor Tudor,0.74 Years
I. Ilić,20,Serbia,Hellas Verona,€5M,Left,14,187cm,75kg,CAM,2026,Igor Tudor,0.74 Years
D. Bessa,28,Italy,Hellas Verona,€3.1M,Right,40,178cm,75kg,CAM,2022,Igor Tudor,0.74 Years
G. Simeone,25,Argentina,Hellas Verona,€7.5M,Right,99,181cm,81kg,ST,30-Jun-22,Igor Tudor,0.74 Years
K. Rüegg,22,Switzerland,Hellas Verona,€4M,Right,19,173cm,77kg,RWB,2025,Igor Tudor,0.74 Years
A. Ragusa,31,Italy,Hellas Verona,€1.6M,Right,32,183cm,77kg,RW,2022,Igor Tudor,0.74 Years
21 A. Almici,27,Italy,Hellas Verona,€1.7M,Right,39,179cm,75kg,RB,2021,Igor Tudor,0.74 Years
N. Kalinić,33,Croatia,Hellas Verona,€3.6M,Right,29,187cm,79kg,ST,2022,Igor Tudor,0.74 Years
G. Frabotta,22,Italy,Hellas Verona,€4M,Left,30,187cm,70kg,LWB,30-Jun-22,Igor Tudor,0.74 Years
K. Lasagna,28,Italy,Hellas Verona,€4.3M,Left,92,186cm,80kg,ST,30-Jun-22,Igor Tudor,0.74 Years
S. Di Carmine,31,Italy,Hellas Verona,€2M,Right,91,187cm,78kg,ST,2022,Igor Tudor,0.74 Years
P. Dawidowicz,26,Poland,Hellas Verona,€6.5M,Right,27,189cm,80kg,CB,2022,Igor Tudor,0.74 Years
G. Caprari,27,Italy,Hellas Verona,€6M,Right,10,176cm,72kg,RW,30-Jun-22,Igor Tudor,0.74 Years
21 S. Bocchetti,33,Italy,Hellas Verona,€1.1M,Left,17,186cm,81kg,CB,2021,Igor Tudor,0.74 Years
M. Cancellieri,18,Italy,Hellas Verona,€2.8M,Left,18,182cm,78kg,LM,2025,Igor Tudor,0.74 Years
F. Ceccherini,29,Italy,Hellas Verona,€3.9M,Right,17,187cm,75kg,CB,2023,Igor Tudor,0.74 Years
21 A. Danzi,21,Italy,Hellas Verona,€1.9M,Right,72,175cm,70kg,CM,2021,Igor Tudor,0.74 Years
21 G. Pazzini,35,Italy,Hellas Verona,€600K,Right,11,180cm,77kg,ST,2020,Igor Tudor,0.74 Years
N. Casale,23,Italy,Hellas Verona,€1.8M,Right,16,191cm,80kg,CB,2022,Igor Tudor,0.74 Years
K. Günter,26,Germany,Hellas Verona,€6M,Right,21,184cm,79kg,CB,2023,Igor Tudor,0.74 Years
B. Šutalo,21,Croatia,Hellas Verona,€4.4M,Right,31,188cm,72kg,CB,30-Jun-22,Igor Tudor,0.74 Years
Y. Çetin,24,Turkey,Hellas Verona,€3.9M,Right,15,189cm,90kg,CB,30-Jun-22,Igor Tudor,0.74 Years
G. Magnani,25,Italy,Hellas Verona,€7.5M,Right,23,191cm,87kg,CB,2024,Igor Tudor,0.74 Years
L. Tupta,22,Slovakia,Hellas Verona,€1.1M,Right,97,180cm,72kg,ST,2023,Igor Tudor,0.74 Years
16 L. Toni,38,Italy,Hellas Verona,€650K,Right,9,193cm,88kg,ST,2016,Igor Tudor,0.74 Years
P. Yeboah,18,Ghana,Hellas Verona,€575K,Right,45,186cm,75kg,ST,2024,Igor Tudor,0.74 Years
15 F. Boni,19,Italy,Hellas Verona,€90K,Right,41,180cm,75kg,CB,2017,Igor Tudor,0.74 Years
L. Montipò,25,Italy,Hellas Verona,€5M,Right,96,191cm,82kg,GK,30-Jun-22,Igor Tudor,0.74 Years
A. Berardi,30,Italy,Hellas Verona,€275K,Right,22,185cm,78kg,GK,2023,Igor Tudor,0.74 Years
I. Pandur,21,Croatia,Hellas Verona,€4.1M,Right,25,187cm,78kg,GK,2025,Igor Tudor,0.74 Years
R. Rodríguez,28,Switzerland,Torino,€7M,Left,13,182cm,77kg,LB,2024,Ivan Juric,0.84 Years
C. Ansaldi,34,Argentina,Torino,€5M,Right,15,181cm,76kg,LWB,2022,Ivan Juric,0.84 Years
D. Baselli,29,Italy,Torino,€7.5M,Right,8,182cm,75kg,CAM,2022,Ivan Juric,0.84 Years
D. Praet,27,Belgium,Torino,€15M,Right,22,181cm,78kg,CM,30-Jun-22,Ivan Juric,0.84 Years
R. Mandragora,24,Italy,Torino,€9M,Left,38,183cm,75kg,CDM,30-Jun-22,Ivan Juric,0.84 Years
T. Rincón,33,Venezuela,Torino,€1.9M,Right,88,177cm,78kg,CDM,2022,Ivan Juric,0.84 Years
S. Lukić,24,Serbia,Torino,€8.5M,Right,10,183cm,77kg,CM,2023,Ivan Juric,0.84 Years
S. Zaza,30,Italy,Torino,€7.5M,Left,7,186cm,78kg,ST,2023,Ivan Juric,0.84 Years
A. Belotti,27,Italy,Torino,€30M,Right,9,181cm,84kg,ST,2022,Ivan Juric,0.84 Years
O. Aina,24,Nigeria,Torino,€5.5M,Right,34,184cm,82kg,RWB,2023,Ivan Juric,0.84 Years
S. Verdi,28,Italy,Torino,€6M,Left,24,174cm,72kg,LW,2023,Ivan Juric,0.84 Years
K. Linetty,26,Poland,Torino,€5M,Right,77,176cm,73kg,CDM,2024,Ivan Juric,0.84 Years
M. Pjaca,26,Croatia,Torino,€6.5M,Right,11,186cm,83kg,LW,30-Jun-22,Ivan Juric,0.84 Years
T. Pobega,21,Italy,Torino,€3.1M,Left,4,188cm,78kg,CM,30-Jun-22,Ivan Juric,0.84 Years
M. Vojvoda,26,Kosovo,Torino,€3.7M,Right,27,187cm,78kg,RB,2024,Ivan Juric,0.84 Years
Iago Falqué,30,Spain,Torino,€4.1M,Left,14,174cm,69kg,CAM,2022,Ivan Juric,0.84 Years
21 N. Nkoulou,30,Cameroon,Torino,€11.5M,Right,33,184cm,78kg,CB,2021,Ivan Juric,0.84 Years
A. Sanabria,25,Paraguay,Torino,€6.5M,Right,19,181cm,73kg,ST,2025,Ivan Juric,0.84 Years
J. Brekalo,23,Croatia,Torino,€11M,Right,14,175cm,70kg,CAM,30-Jun-22,Ivan Juric,0.84 Years
D. Zima,20,Czech Republic,Torino,€7.5M,Right,6,190cm,80kg,CB,2025,Ivan Juric,0.84 Years
A. Izzo,29,Italy,Torino,€16M,Right,5,183cm,81kg,CB,2024,Ivan Juric,0.84 Years
16 Amauri,35,Italy,Torino,€1.1M,Right,22,186cm,83kg,ST,2016,Ivan Juric,0.84 Years
W. Singo,20,Côte d'Ivoire,Torino,€2M,Right,17,190cm,79kg,RWB,2023,Ivan Juric,0.84 Years
Bremer,24,Brazil,Torino,€11M,Right,3,188cm,82kg,CB,2023,Ivan Juric,0.84 Years
S. Edera,24,Italy,Torino,€1.3M,Left,94,174cm,70kg,CAM,2023,Ivan Juric,0.84 Years
K. Djidji,28,Côte d'Ivoire,Torino,€1.8M,Right,26,184cm,71kg,CB,2023,Ivan Juric,0.84 Years
A. Buongiorno,22,Italy,Torino,€1.5M,Left,99,194cm,80kg,CB,2024,Ivan Juric,0.84 Years
08 A. Recoba,31,Uruguay,Torino,€ 0,Left,4,179cm,79kg,CF,2007,Ivan Juric,0.84 Years
K. Horváth,19,Hungary,Torino,€625K,Right,60,172cm,70kg,CAM,2025,Ivan Juric,0.84 Years
18 N. Burdisso,36,Argentina,Torino,€1M,Right,13,183cm,81kg,CB,2020,Ivan Juric,0.84 Years
M. Warming,21,Denmark,Torino,€800K,Right,66,187cm,72kg,RM,2024,Ivan Juric,0.84 Years
I. Karamoko,20,France,Torino,€275K,Right,86,187cm,79kg,CDM,2023,Ivan Juric,0.84 Years
B. Kone,21,Côte d'Ivoire,Torino,€500K,Left,98,180cm,75kg,ST,2023,Ivan Juric,0.84 Years
T. Baeten,19,Belgium,Torino,€775K,Left,30,185cm,79kg,ST,30-Jun-22,Ivan Juric,0.84 Years
V. Millico,19,Italy,Torino,€775K,Right,96,174cm,68kg,CAM,2023,Ivan Juric,0.84 Years
V. Milinković-Savić,24,Serbia,Torino,€1.9M,Right,32,202cm,90kg,GK,2024,Ivan Juric,0.84 Years
21 S. Ujkani,31,Kosovo,Torino,€750K,Right,18,188cm,83kg,GK,2021,Ivan Juric,0.84 Years
E. Berisha,32,Albania,Torino,€2.8M,Left,1,194cm,92kg,GK,2024,Ivan Juric,0.84 Years
D. Suárez,33,Uruguay,Getafe,€7.5M,Right,22,173cm,68kg,RB,2022,Quique Sánchez Flores,1.45 Years
N. Maksimović,26,Serbia,Getafe,€23M,Right,20,189cm,78kg,CDM,2024,Quique Sánchez Flores,1.45 Years
J. Silva,27,Argentina,Getafe,€4.4M,Left,14,179cm,72kg,LB,2025,Quique Sánchez Flores,1.45 Years
J. Jankto,25,Czech Republic,Getafe,€5.5M,Left,16,180cm,74kg,LM,2026,Quique Sánchez Flores,1.45 Years
Vitolo,31,Spain,Getafe,€11.5M,Right,8,185cm,79kg,LM,30-Jun-22,Quique Sánchez Flores,1.45 Years
A. Nyom,33,Cameroon,Getafe,€3.5M,Right,4,189cm,80kg,CB,2022,Quique Sánchez Flores,1.45 Years
19 M. Flamini,34,France,Getafe,€2M,Right,16,178cm,67kg,CB,2019,Quique Sánchez Flores,1.45 Years
M. Arambarri,25,Uruguay,Getafe,€23.5M,Right,18,175cm,74kg,CDM,2023,Quique Sánchez Flores,1.45 Years
Timor,31,Spain,Getafe,€2.1M,Left,24,185cm,81kg,CDM,2022,Quique Sánchez Flores,1.45 Years
20 Markel Bergara,33,Spain,Getafe,€3.2M,Right,5,181cm,78kg,CDM,2020,Quique Sánchez Flores,1.45 Years
M. Olivera,23,Uruguay,Getafe,€16M,Left,17,184cm,78kg,LB,2025,Quique Sánchez Flores,1.45 Years
Aleñá,23,Spain,Getafe,€6.5M,Left,11,180cm,73kg,CAM,2026,Quique Sánchez Flores,1.45 Years
E. Ünal,24,Turkey,Getafe,€9M,Right,10,187cm,78kg,ST,2025,Quique Sánchez Flores,1.45 Years
D. Djené,29,Togo,Getafe,€24M,Right,2,178cm,72kg,CB,2023,Quique Sánchez Flores,1.45 Years
Sandro,25,Spain,Getafe,€3.1M,Right,12,175cm,71kg,ST,30-Jun-22,Quique Sánchez Flores,1.45 Years
Mata,32,Spain,Getafe,€14M,Right,7,185cm,79kg,ST,2024,Quique Sánchez Flores,1.45 Years
Florentino,21,Portugal,Getafe,€9M,Right,5,184cm,74kg,CDM,30-Jun-22,Quique Sánchez Flores,1.45 Years
Chema Rodríguez,29,Spain,Getafe,€1.7M,Left,6,189cm,80kg,CB,2023,Quique Sánchez Flores,1.45 Years
18 D. Díaz,36,Argentina,Getafe,€375K,Right,6,183cm,77kg,CB,2018,Quique Sánchez Flores,1.45 Years
J. Macías,21,Mexico,Getafe,€12.5M,Right,9,177cm,73kg,ST,30-Jun-22,Quique Sánchez Flores,1.45 Years
E. Cabaco,26,Uruguay,Getafe,€4M,Right,3,186cm,75kg,CB,2024,Quique Sánchez Flores,1.45 Years
Jorge Cuenca,21,Spain,Getafe,€3.9M,Left,15,190cm,75kg,CB,30-Jun-22,Quique Sánchez Flores,1.45 Years
Juan Iglesias,22,Spain,Getafe,€3M,Right,21,185cm,76kg,RB,2026,Quique Sánchez Flores,1.45 Years
S. Mitrović,31,Serbia,Getafe,€2.1M,Right,23,189cm,84kg,CB,2024,Quique Sánchez Flores,1.45 Years
Algobia,22,Spain,Getafe,€500K,Right,36,180cm,78kg,CAM,2022,Quique Sánchez Flores,1.45 Years
Darío Poveda,24,Spain,Getafe,€1.6M,Right,19,185cm,75kg,ST,2026,Quique Sánchez Flores,1.45 Years
John Patrick,17,Spain,Getafe,€550K,Right,38,193cm,80kg,ST,2022,Quique Sánchez Flores,1.45 Years
Alex Rodríguez,19,Spain,Getafe,€475K,Right,30,178cm,73kg,RB,2022,Quique Sánchez Flores,1.45 Years
M. Niang,19,Spain,Getafe,€575K,Left,39,190cm,77kg,ST,2023,Quique Sánchez Flores,1.45 Years
A. Akurugu,19,Ghana,Getafe,€475K,Left,34,174cm,70kg,LB,2022,Quique Sánchez Flores,1.45 Years
David Soria,28,Spain,Getafe,€20.5M,Right,13,192cm,85kg,GK,2022,Quique Sánchez Flores,1.45 Years
Rubén Yáñez,27,Spain,Getafe,€1.5M,Right,1,190cm,85kg,GK,2023,Quique Sánchez Flores,1.45 Years
Diego Conde,22,Spain,Getafe,€1.5M,Right,27,187cm,83kg,GK,2024,Quique Sánchez Flores,1.45 Years
21 Álex Dos Santos,21,Brazil,Getafe,€1M,Right,37,185cm,79kg,GK,2021,Quique Sánchez Flores,1.45 Years
J. García,18,Colombia,Getafe,€550K,Right,28,186cm,77kg,GK,2021,Quique Sánchez Flores,1.45 Years
Embarba,29,Spain,Espanyol,€20.5M,Right,23,173cm,68kg,RM,2024,Vicente Moreno,2.06 Years
Sergi Darder,27,Spain,Espanyol,€20M,Right,10,180cm,71kg,CM,2023,Vicente Moreno,2.06 Years
Aleix Vidal,31,Spain,Espanyol,€10M,Right,22,177cm,70kg,RB,2023,Vicente Moreno,2.06 Years
Y. Herrera,23,Venezuela,Espanyol,€22M,Right,25,184cm,77kg,CDM,30-Jun-22,Vicente Moreno,2.06 Years
20 Granero,31,Spain,Espanyol,€11M,Right,23,180cm,78kg,CM,2020,Vicente Moreno,2.06 Years
Fran Mérida,31,Spain,Espanyol,€3M,Left,8,173cm,73kg,CDM,2022,Vicente Moreno,2.06 Years
K. Bare,23,Albania,Espanyol,€11M,Right,20,174cm,66kg,CDM,2024,Vicente Moreno,2.06 Years
De Tomás,26,Spain,Espanyol,€23M,Right,11,180cm,79kg,ST,2026,Vicente Moreno,2.06 Years
